ANALYSIS_TYPE	CHEMICAL_NAME	FinalUnit	StdParamName	GroupNum	GroupName	LogTransf	SSD	SSTV	SensMin	SensMax	TolMin	TolMax	UseInStressorID	DirIncStress	SSTVname	Label	MinWQO_CAR9	MCL_Primary	MCL_Secondary
None	E. coli	MPN/100 mL	E_coli_MPN_100mL	1	Bacteria	1	0	0	NA	NA	NA	NA	1	Inc		E. coli (most probable number/100 mL)	126		
None	Enterococcus	MPN/100 mL	Enterococcus_MPN_100mL	1	Bacteria	1	0	0	NA	NA	NA	NA	1	Inc		Enterococcus (most probable number/100 mL)	33		
None	"Coliform, Fecal"	MPN/100 mL	FecalColiform_MPN_100mL	1	Bacteria	1	0	0	NA	NA	NA	NA	1	Inc		Fecal coliform (most probable number/100 mL)			
None	"Coliform, Total"	MPN/100 mL	TotalColiform_MPN_100mL	1	Bacteria	1	0	0	NA	NA	NA	NA	1	Inc		Total coliform (most probable number/100 mL)			
Total	"DDD(o,p')"	ng/g dw	DDD_o_pprime_tot_ng_g_dw	2	DDT and metabolites	1	0	0	NA	NA	NA	NA	1	Inc		"o,p'-DDD (ng/g dry weight)"			
Total	"DDD(o,p')"	ug/L	DDD_o_pprime_ug_L	2	DDT and metabolites	1	0	0	NA	NA	NA	NA	1	Inc		"o,p'-DDD (ug/L)"			
Total	"DDD(p,p')"	ng/g dw	DDD_p_pprime_tot_ng_g_dw	2	DDT and metabolites	1	0	0	NA	NA	NA	NA	1	Inc		"p,p'-DDD (ng/g dry weight)"			
Total	"DDD(p,p')"	ug/L	DDD_p_pprime_ug_L	2	DDT and metabolites	1	0	0	NA	NA	NA	NA	1	Inc		"p,p'-DDD (ug/L)"			
Total	"DDE(o,p')"	ng/g dw	DDE_o_pprime_tot_ng_g_dw	2	DDT and metabolites	1	0	0	NA	NA	NA	NA	1	Inc		"o,p'-DDE (ng/g dry weight)"			
Total	"DDE(o,p')"	ug/L	DDE_o_pprime_ug_L	2	DDT and metabolites	1	0	0	NA	NA	NA	NA	1	Inc		"o,p'-DDE (ug/L)"			
Total	"DDE(p,p')"	ng/g dw	DDE_p_pprime_tot_ng_g_dw	2	DDT and metabolites	1	0	0	NA	NA	NA	NA	1	Inc		"p,p'-DDE (ng/g dry weight)"			
Total	"DDE(p,p')"	ug/L	DDE_p_pprime_ug_L	2	DDT and metabolites	1	0	0	NA	NA	NA	NA	1	Inc		"p,p'-DDE (ug/L)"			
Total	"DDMU(p,p')"	ng/g dw	DDMU_p_pprime_tot_ng_g_dw	2	DDT and metabolites	1	0	0	NA	NA	NA	NA	1	Inc		"p,p'-DDMU (ng/g dry weight)"			
Total	"DDMU(p,p')"	ug/L	DDMU_p_pprime_ug_L	2	DDT and metabolites	1	0	0	NA	NA	NA	NA	1	Inc		"p,p'-DDMU (ug/L)"			
Total	"DDT(o,p')"	ng/g dw	DDT_o_pprime_tot_ng_g_dw	2	DDT and metabolites	1	0	0	NA	NA	NA	NA	1	Inc		"o,p'-DDT (ng/g dry weight)"			
Total	"DDT(o,p')"	ug/L	DDT_o_pprime_ug_L	2	DDT and metabolites	1	0	0	NA	NA	NA	NA	1	Inc		"o,p'-DDT (ug/L)"			
Total	"DDT(p,p')"	ng/g dw	DDT_p_pprime_tot_ng_g_dw	2	DDT and metabolites	1	0	0	NA	NA	NA	NA	1	Inc		"p,p'-DDT (ng/g dry weight)"			
Total	"DDT(p,p')"	ug/L	DDT_p_pprime_ug_L	2	DDT and metabolites	1	0	0	NA	NA	NA	NA	1	Inc		"p,p'-DDT (ug/L)"			
None	IPI	none	IPI	18	Habitat	0	0	0	NA	NA	NA	NA	1	Dec		Index of physical habitat integrity			
None	Ev_FlowHab_score	none	Ev_FlowHab_score	18	Habitat	0	0	0	NA	NA	NA	NA	1	Dec		Evenness of flow habitat types			
None	H_AqHab_score	none	H_AqHab_score	18	Habitat	0	0	0	NA	NA	NA	NA	1	Dec		Shannon diversity of natural in-channel cover types			
None	H_SubNat_score	none	H_SubNat_score	18	Habitat	0	0	0	NA	NA	NA	NA	1	Dec		Shannon diversity of natural substrate types			
None	PCT_SAFN_score	none	PCT_SAFN_score	18	Habitat	0	0	0	1	2	4	5	1	Inc		Percent sand and fine substrate			
None	XCMG_score	none	XCMG_score	18	Habitat	0	0	0	NA	NA	NA	NA	1	Dec		Riparian cover (sum of three layers)			
Total	Terbutryn	ug/L	Terbutryn_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc		Terbutryn (ug/L)			
Total	Thiobencarb	ug/L	Thiobencarb_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc		Thiobencarb (ug/L)		70	1
Total	Atrazine	ug/L	Atrazine_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc		Atrazine (ug/L)		1	
Total	Molinate	ug/L	Molinate_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc		Molinate (ug/L)		20	
Total	Oxadiazon	ng/g dw	Oxadiazon_ng_g_dw	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc		Oxadiazon (ng/g dry weight)			
Total	Oxadiazon	ug/L	Oxadiazon_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc		Oxadiazon (ug/L)			
Total	Prometon	ug/L	Prometon_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc		Prometon (ug/L)			
Total	Prometryn	ug/L	Prometryn_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc		Prometryn (ug/L)			
Total	Propazine	ug/L	Propazine_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc		Propazine (ug/L)			
Total	Secbumeton	ug/L	Secbumeton_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc		Secbumeton (ug/L)			
Total	Simazine	ug/L	Simazine_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc		Simazine (ug/L)		4	
Total	Simetryn	ug/L	Simetryn_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc		Simetryn (ug/L)			
Total	Terbuthylazine	ug/L	Terbuthylazine_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc		Terbuthylazine (ug/L)			
Total	Ametryn	ug/L	Ametryn_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc		Ametryn (ug/L)			
Total	Atraton	ug/L	Atraton_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc		Atraton (ug/L)			
Total	Dacthal	ng/g dw	Dacthal_tot_ng_g_dw	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc		Dacthal (ng/g dry weight)			
Total	Dacthal	ug/L	Dacthal_ug_L	4	Herbicide	1	0	0	NA	NA	NA	NA	1	Inc		Dacthal (ug/L)			
Particulate	AFDM_Algae	g/m2	AFDM_algae_particulate_g_m2	7	Nutrients	1	0	0	NA	NA	NA	NA	1	Inc		Ash-free dry mass from algae (g/m2)			
Dissolved	Alkalinity as CaCO3	mg/L	Alkalinity_CaCO3_f_mg_L	17	Water quality	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved alkalinity as calcium carbonate (mg/L)			
Field_None	Alkalinity as CaCO3	mg/L	Alkalinity_CaCO3_fld_mg_L	17	Water quality	1	0	0	NA	NA	NA	NA	1	Inc		Field-measured alkalinity as calcium carbonate (mg/L)			
Field_Total	Alkalinity as CaCO3	mg/L	Alkalinity_CaCO3_fld_mg_L	17	Water quality	1	0	0	NA	NA	NA	NA	1	Inc		Field-measured alkalinity as calcium carbonate (mg/L)			
Total	Alkalinity as CaCO3	mg/L	Alkalinity_CaCO3_uf_mg_L	17	Water quality	1	0	0	NA	NA	NA	NA	1	Inc		Total alkalinity as calcium carbonate (mg/L)			
Dissolved	Aluminum	ug/L	Aluminum_f_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved aluminum (ug/L)		1	200
Total	Aluminum	mg/kg dw	Aluminum_tot_mg_kg_dw	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Total aluminum (mg/kg dry weight)			
Total	Aluminum	ug/L	Aluminum_uf_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Total aluminum (ug/L)		1	200
Total	Acid Neutralizing Capacity	ueq/L	ANC_ueq_L	17	Water quality	1	0	0	NA	NA	NA	NA	1	Inc		Total acid neutralizing capacity (ueq/L)			
Dissolved	Antimony	ug/L	Antimony_f_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved antimony (ug/L)		0.006	
